r_object_id,cgm_and_assigned_groups
0b02cba082e06a21,
0b02cba082e06a21,nb_letters_ho_dit_cgm
0b02cba082e13234,
0b02cba082e13234,
0b02cba082e13234,
0b02cba082e13234,
0b02cba082e13234,
0b02cba082e13234,nb_vertical_head_letter_ro_or_ro-or-dor common
0b02cba082e13234,nb_letters_ro_or_cgm
0b02cba082e13895,
0b02cba082e13895,nb_vertical_head_letter_ro_hr_ro-hr-dos common
0b02cba082e13895,nb_letters_ro_hr_cgm
0b02cba082e139a3,
0b02cba082e139a3,
0b02cba082e139a3,nb_vertical_head_letter_ro_or_ro-or-cpd common
0b02cba082e139a3,nb_letters_ro_or_cgm
0b02cba082e13b24,
0b02cba082e13b24,
0b02cba082e13b24,
0b02cba082e13b24,
0b02cba082e13b24,
0b02cba082e13b24,
0b02cba082e13b24,
0b02cba082e13b24,
0b02cba082e13b24,nb_vertical_head_letter_ro_or_ro-or-dos common
0b02cba082e13b24,nb_letters_ro_or_cgm
0b02cba082e13b29,
0b02cba082e13b29,
0b02cba082e13be6,
0b02cba082e13be6,
0b02cba082e13be6,
0b02cba082e13be6,
0b02cba082e13be6,
0b02cba082e13be6,
0b02cba082e13be6,
0b02cba082e13be6,
0b02cba082e13be6,nb_vertical_head_letter_ro_or_ro-or-dos common
0b02cba082e13be6,nb_letters_ro_or_cgm
0b02cba082e13be7,
0b02cba082e13be7,
0b02cba082e13be7,
0b02cba082e13be7,
0b02cba082e13be7,
0b02cba082e13be7,
0b02cba082e13be7,
0b02cba082e13be7,
0b02cba082e13be7,nb_vertical_head_letter_ro_or_ro-or-dos common
0b02cba082e13be7,nb_letters_ro_or_cgm
0b02cba082e13be8,
0b02cba082e13be8,
0b02cba082e13be8,
0b02cba082e13be8,
0b02cba082e13be8,
0b02cba082e13be8,nb_vertical_head_letter_ro_or_ro-or-dor common
0b02cba082e13be8,nb_letters_ro_or_cgm
0b02cba082e13be9,
0b02cba082e13be9,
0b02cba082e13be9,nb_vertical_head_letter_ro_or_ro-or-idd common
0b02cba082e13be9,nb_letters_ro_or_cgm
0b02cba082e13f26,
0b02cba082e13f26,
0b02cba082e140e1,
0b02cba082e140e1,
0b02cba082e141c5,
0b02cba082e141c5,
0b02cba082e141c6,
0b02cba082e141c6,
