r_object_id,cgm_and_assigned_groups
0b02cba0829a4706,nb_vertical_head_letter_ro_hp_ro-hp-dit common
0b02cba0829a4706,nb_letters_ro_hp_cgm
0b02cba0829a470a,
0b02cba0829a470a,
0b02cba0829a470a,
0b02cba0829a470a,
0b02cba0829a470a,
0b02cba0829a470a,nb_letter_ro_kl_dit common
0b02cba0829a470a,nb_letters_ro_kl_cgm
0b02cba0829a470c,
0b02cba0829a470c,
0b02cba0829a470c,
0b02cba0829a470c,
0b02cba0829a470c,nb_letter_ro_mh_dit common
0b02cba0829a470c,nb_letters_ro_mh_cgm
0b02cba0829a4713,nb_letters_ro_pn_cgm
0b02cba0829b71ab,
0b02cba0829b71ab,
0b02cba0829b71ab,
0b02cba0829b71ab,
0b02cba0829b71ab,
0b02cba0829b71ab,
0b02cba0829b71ab,
0b02cba0829b71ab,
0b02cba0829b71ab,
0b02cba0829b71ab,
0b02cba0829b71ab,
0b02cba0829b71ab,
0b02cba0829b71ab,
0b02cba0829b71ab,
0b02cba0829b71ab,
0b02cba0829b71ab,
0b02cba0829b71ab,
0b02cba0829c4c86,
0b02cba0829c4c86,
0b02cba0829c4c86,
0b02cba0829c4c86,
0b02cba0829c4c86,
0b02cba0829c4c86,
0b02cba0829c4c86,
0b02cba0829c4c86,
0b02cba0829c4c86,
0b02cba0829c4c86,
0b02cba0829c4c86,
0b02cba0829c4c86,nb_letter_ho_fd_borrowing back office
0b02cba0829c4c86,nb_letters_ho_fd_cgm
0b02cba0829c4f7b,
0b02cba0829c4f7b,
0b02cba0829c4f7b,
0b02cba0829c4f7b,
0b02cba0829c4f7b,
0b02cba0829c4f7b,
0b02cba0829c4f7b,
0b02cba0829c4f7b,
0b02cba0829c4f7b,
0b02cba0829c4f7b,nb_letter_ho_fd_treasury front office
0b02cba0829c4f7b,nb_letters_ho_fd_cgm
0b02cba0829a471b,
0b02cba0829a471b,
0b02cba0829a471b,
0b02cba0829a471b,nb_letter_ro_wb_dit common
0b02cba0829a471b,nb_letter_ro_wb_dpsp common
0b02cba0829a471b,nb_letters_ro_wb_cgm
0b02cba0829a471f,
0b02cba0829a471f,
0b02cba0829a471f,
0b02cba0829a471f,
0b02cba0829a471f,
0b02cba0829a471f,
0b02cba0829a471f,nb_letter_te_nc_dit common
0b02cba0829a471f,nb_letters_te_nc_cgm
0b02cba0829b7683,
0b02cba0829b7683,
0b02cba0829b7683,
0b02cba0829b7683,nb_letter_ho_fd_retail vertical
0b02cba0829b7683,nb_letters_ho_fd_cgm
0b02cba0829a4712,
0b02cba0829a4712,
0b02cba0829a4712,
0b02cba0829a4712,
0b02cba0829a4712,nb_letter_ro_or_dit common
0b02cba0829a4712,nb_letters_ro_or_cgm
0b02cba0829a4717,
0b02cba0829a4717,
0b02cba0829a4717,
0b02cba0829a4717,
0b02cba0829a4717,nb_letter_ro_tg_dit common
0b02cba0829a4717,nb_letters_ro_tg_cgm
0b02cba0829a471c,
0b02cba0829a471c,
0b02cba0829a471c,
0b02cba0829a471c,
0b02cba0829a471c,
0b02cba0829a471c,nb_letters_te_bk_cgm
0b02cba0829a471e,
0b02cba0829a471e,
0b02cba0829a471e,
0b02cba0829a471e,
0b02cba0829a471e,nb_letter_te_bm_dit common
0b02cba0829a471e,nb_letters_te_bm_cgm
0b02cba0829c3caa,
0b02cba0829c3caa,
0b02cba0829c3caa,
0b02cba0829c3caa,
0b02cba0829c3caa,
0b02cba0829c3caa,
0b02cba0829c3caa,
0b02cba0829c3caa,
0b02cba0829c3caa,
0b02cba0829c3caa,
0b02cba0829c3caa,
0b02cba0829c3caa,nb_letter_ho_fd_borrowing back office
0b02cba0829c3caa,nb_letters_ho_fd_cgm
